,company,file_no,opened,closed,coverage,sub_coverage,reason,sub_reason,disposition,conclusion,recovery,status,duration
32134,Metropolitan Life Insurance Company,7010358,7/28/2021,8/13/2021,Individual,Dental,PolicyHolder Service,Delays/No Response,No Action Requested/Required,Company Position Upheld,0,Closed,16
32135,"Anthem Health Plans, Inc",7003324,8/18/2020,9/1/2020,Group,Health Only,Claim Handling,Eligibility of Provider,No Action Requested/Required,Company Position Upheld,0,Closed,14
32136,"ConnectiCare Insurance Company, Inc",7015197,6/28/2018,7/17/2018,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,19
32137,Bankers Life and Casualty Company,7003966,10/1/2020,10/14/2020,Individual,Long Term Care,Claim Handling,Claim Procedure,Claim Settled,Company Position Upheld,4480,Closed,13
32138,Guarantee Trust Life Insurance Company,7005168,12/22/2020,1/14/2021,Individual,Cancer/Dread Disease,Claim Handling,Claim Procedure,No Action Requested/Required,Company Position Upheld,0,Closed,23
32139,Hanover American Insurance Company,7003431,7/29/2020,9/4/2020,Homeowners,Homeowners,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0,Closed,37
32140,"Anthem Health Plans, Inc",7014355,10/25/2018,11/21/2018,Individual,Exchange&ndash;Individual Health,Claim Handling,UR MEDICALLY NECESSARY DENIAL,No Action Requested/Required,Company Position Upheld,0,Closed,27
32141,Travelers Home and Marine Insurance Company (The),7020252,9/16/2019,10/4/2019,Homeowners,Homeowners,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,18
32142,Genworth Life Insurance Company of New York,7011055,5/6/2021,5/6/2021,Individual,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,0
32145,Genworth Life Insurance Company,7007632,1/19/2018,2/13/2018,Individual,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,25
32146,"ConnectiCare Insurance Company, Inc",7021909,8/13/2019,9/9/2019,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,27
32147,Everlake Life Insurance Company,7001641,3/25/2020,4/13/2020,Individual Life,Liability,PolicyHolder Service,Delays/No Response,No Action Requested/Required,Company Position Upheld,0,Closed,19
32148,Property and Casualty Insurance Company of Hartford,7014445,2/4/2019,2/21/2019,Homeowners,Homeowners,Underwriting,Nonrenewal,Company Position Substantiated,Company Position Upheld,0,Closed,17
32149,"ConnectiCare Insurance Company, Inc",7001370,3/30/2020,5/6/2020,Group,Health Only,Claim Handling,Claim Procedure,Company Position Substantiated,Company Position Upheld,0,Closed,37
32150,"Anthem Health Plans, Inc",7011071,6/14/2021,6/25/2021,A & H,Liability,Claim Handling,Claim Procedure,Claim Settled,Company Position Upheld,1334,Closed,11
32151,LM General Insurance Company,7010413,2/24/2021,3/18/2021,Homeowners,Homeowners,Underwriting,Nonrenewal,Company Position Substantiated,Company Position Upheld,0,Closed,22
32152,State Farm Fire & Casualty Company,7007679,2/22/2018,3/9/2018,Homeowners,Homeowners,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,15
32153,American Strategic Insurance Corp.,7016758,8/23/2018,10/9/2018,Homeowners,Homeowners,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,47
32154,Genworth Life Insurance Company,7021746,8/12/2019,8/19/2019,Individual,Long Term Care,Underwriting,Premium & Rating,Insufficient Information,Company Position Upheld,0,Closed,7
32155,Vermont Mutual Insurance Company,7000720,2/24/2020,3/19/2020,Commercial Multi&ndash;Peril,Condo Association,Underwriting,Cancellation,Company Position Substantiated,Company Position Upheld,0,Closed,24
32156,"Anthem Health Plans, Inc",7000760,2/25/2020,3/17/2020,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,21
32157,"Anthem Health Plans, Inc",7014088,2/19/2019,3/6/2019,Group,Health Only,Marketing & Sales,Misappropriation of Premium,Company Position Substantiated,Company Position Upheld,0,Closed,15
32158,"Anthem Health Plans, Inc",7010236,2/22/2021,4/7/2021,Individual,Exchange&ndash;Individual Health,Claim Handling,UR MEDICALLY NECESSARY DENIAL,No Action Requested/Required,Company Position Upheld,0,Closed,44
32159,Republic&ndash;Franklin Insurance Company,7022215,5/10/2019,6/19/2019,Homeowners,Homeowners,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,40
32160,Allstate Insurance Company,7019797,7/16/2019,8/20/2019,Homeowners,Homeowners,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Company Position Upheld,0,Closed,35
32161,Transamerica Premier LIfe Insurance Company,7004551,10/14/2020,10/27/2020,Individual,Long Term Care,PolicyHolder Service,Delays/No Response,No Action Requested/Required,Company Position Upheld,0,Closed,13
32162,"Oxford Health Insurance, Incorporated",7013526,3/14/2019,3/22/2019,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,8
32163,Transamerica Life Insurance Company,7019650,8/23/2019,9/6/2019,Individual,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,14
32164,"Anthem Health Plans, Inc",7008052,2/14/2018,2/27/2018,Individual,Exchange&ndash;Individual Health,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0,Closed,13
32165,"Oxford Health Plans (CT), Inc",7012249,11/7/2018,12/17/2018,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Company Position Upheld,1260.5,Closed,40
32166,Allstate Insurance Company,7006061,12/20/2017,1/9/2018,Homeowners,Homeowners,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,20
32167,American Commerce Insurance Company,7019524,3/29/2019,4/12/2019,Homeowners,Homeowners,Underwriting,Cancellation,No Jurisdiction,Company Position Upheld,0,Closed,14
32168,United Services Automobile Association,7013536,3/15/2019,4/22/2019,Homeowners,Homeowners,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,38
32169,Genworth Life Insurance Company,7009415,7/8/2021,7/29/2021,Individual,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,21
32170,ConnectiCare Inc,7013099,1/14/2019,3/19/2019,Group,Health Only,Claim Handling,Claim Denial,No Action Requested/Required,Company Position Upheld,0,Closed,64
32171,"ConnectiCare Insurance Company, Inc",7016222,4/9/2018,5/17/2018,Individual,Health Only,Underwriting,Nonrenewal,Company Position Substantiated,Company Position Upheld,0,Closed,38
32172,"ConnectiCare Benefits, Inc.",7012764,3/5/2019,3/26/2019,Individual,Exchange&ndash;Individual Health,Underwriting,Premium & Rating,No Action Requested/Required,Company Position Upheld,0,Closed,21
32173,"Anthem Health Plans, Inc",7008836,6/28/2021,7/9/2021,Individual,Health Only,Claim Handling,Claim Procedure,No Action Requested/Required,Company Position Upheld,0,Closed,11
32174,"Anthem Health Plans, Inc",7014292,2/28/2019,3/14/2019,Group,Health Only,Claim Handling,Mandated Benefit,Claim Settled,Company Position Upheld,1847.92,Closed,14
32175,"Anthem Health Plans, Inc",7016800,4/18/2018,6/12/2018,Individual,Dental,Marketing & Sales,High Pressure Tactics,No Action Requested/Required,Company Position Upheld,0,Closed,55
32176,Cigna Health and Life Insurance Company,7018461,12/16/2019,1/27/2020,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Claim Settled,Company Position Upheld,836.77,Closed,42
32177,"ConnectiCare Benefits, Inc.",7011341,1/22/2021,2/2/2021,Individual,Exchange&ndash;Individual Health,Marketing & Sales,Misappropriation of Premium,Compromised Settlement/Resolution,Company Position Upheld,0,Closed,11
32178,"ConnectiCare Benefits, Inc.",7015577,7/6/2018,7/20/2018,Individual,Exchange&ndash;Individual Health,Underwriting,Cancellation,Company Position Substantiated,Company Position Upheld,0,Closed,14
32179,"Anthem Health Plans, Inc",7019852,8/28/2019,9/11/2019,Individual,Exchange&ndash;Individual Health,Claim Handling,Eligibility of Provider,Company Position Substantiated,Company Position Upheld,0,Closed,14
32181,Graphic Arts Mutual Insurance Company,7010198,2/19/2021,3/5/2021,General,Liability,Claim Handling,Claim Procedure,Company Position Substantiated,Company Position Upheld,0,Closed,14
32182,Genworth Life Insurance Company,7013131,2/22/2019,2/25/2019,Individual,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,3
32183,"Oxford Health Insurance, Incorporated",7020410,7/24/2019,7/26/2019,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Company Position Upheld,0,Closed,2
32184,ConnectiCare Inc,7003843,8/26/2020,10/22/2020,Individual,Health Only,PolicyHolder Service,Delays/No Response,No Action Requested/Required,Company Position Upheld,0,Closed,57
32185,UnitedHealthcare Insurance Company,7006924,9/3/2021,9/24/2021,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,No Action Requested/Required,Company Position Upheld,0,Closed,21
32186,Transamerica Life Insurance Company,7000120,1/16/2020,1/28/2020,Individual,Long Term Care,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0,Closed,12
32187,UnitedHealthcare Insurance Company,7012364,2/14/2019,3/15/2019,Individual,Health Only,Marketing & Sales,High Pressure Tactics,Compromised Settlement/Resolution,Company Position Upheld,241.64,Closed,29
32188,"ConnectiCare Benefits, Inc.",7006843,1/10/2018,1/17/2018,Individual,Exchange&ndash;Individual Health,Marketing & Sales,Misappropriation of Premium,Insufficient Information,Company Position Upheld,0,Closed,7
32189,United Services Automobile Association,7006224,12/21/2017,1/8/2018,Homeowners,Homeowners,Underwriting,Cancellation,Company Position Substantiated,Company Position Upheld,0,Closed,18
32190,"ConnectiCare Insurance Company, Inc",7016453,4/12/2018,4/30/2018,Individual,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,No Action Requested/Required,Company Position Upheld,0,Closed,18
32191,SCOR Global Life Americas Reinsurance Company,7014638,2/5/2019,2/19/2019,Individual Life,Liability,PolicyHolder Service,Delays/No Response,No Action Requested/Required,Company Position Upheld,0,Closed,14
32192,"Anthem Health Plans, Inc",7017803,10/2/2019,10/22/2019,A & H,Liability,Claim Handling,Unsatisfactory Settlement/Offer,No Action Requested/Required,Company Position Upheld,0,Closed,20
32193,"ConnectiCare Insurance Company, Inc",7016055,4/6/2018,5/3/2018,Individual,Health Only,PolicyHolder Service,Delays/No Response,No Action Requested/Required,Company Position Upheld,0,Closed,27
32194,Bankers Life and Casualty Company,7016583,9/10/2018,9/26/2018,Group,Health Only,Underwriting,Rescission,Company Position Substantiated,Company Position Upheld,0,Closed,16
32195,Cigna Health and Life Insurance Company,7004657,11/16/2020,1/7/2021,Individual,Dental,Claim Handling,Eligibility of Provider,Claim Settled,Company Position Upheld,213.6,Closed,52
32196,"Anthem Health Plans, Inc",7016065,4/9/2018,8/15/2018,Group,Health Only,Claim Handling,Claim Denial,No Action Requested/Required,Company Position Upheld,5379.7,Closed,128
32198,Brighthouse Life Insurance Company,7004187,9/18/2020,10/20/2020,Individual,Long Term Care,Underwriting,Premium & Rating,No Action Requested/Required,Company Position Upheld,0,Closed,32
32199,Esurance Insurance Company,7044427,4/14/2022,5/20/2022,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Claim Settled,Claim Paid,0,Closed,36
32200,UnitedHealthcare Insurance Company,7019073,9/30/2019,10/18/2019,Group,Health Only,Claim Handling,UR DENIAL OF CLAIM,No Action Requested/Required,Company Position Upheld,0,Closed,18
32201,John Hancock Life Insurance Company (USA),7014131,10/22/2018,11/13/2018,Individual Life,Liability,PolicyHolder Service,Delays/No Response,Company Position Substantiated,Company Position Upheld,0,Closed,22
32202,Bankers Life and Casualty Company,7021608,5/1/2019,5/28/2019,Individual,Medicare Advantage,Marketing & Sales,High Pressure Tactics,No Action Requested/Required,Company Position Upheld,0,Closed,27
32203,Property and Casualty Insurance Company of Hartford,7009609,7/15/2021,8/2/2021,Homeowners,Homeowners,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0,Closed,18
32205,Hartford Life and Accident Insurance Company,7013387,10/12/2018,10/29/2018,Group,Group/Association Trust,Underwriting,No Subreason,No Action Requested/Required,Company Position Upheld,0,Closed,17
32206,"ConnectiCare Insurance Company, Inc",7003265,8/14/2020,10/14/2020,Individual,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Insufficient Information,Company Position Upheld,0,Closed,61
32207,Equitable Financial Life Insurance Company,7017204,4/25/2018,5/17/2018,Individual Life,Liability,PolicyHolder Service,Delays/No Response,No Action Requested/Required,Company Position Upheld,0,Closed,22
32208,"Anthem Health Plans, Inc",7006801,1/8/2018,1/25/2018,Individual,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,No Action Requested/Required,Company Position Upheld,0,Closed,17
32209,"Anthem Health Plans, Inc",7017656,8/6/2018,8/24/2018,Individual,Exchange&ndash;Individual Health,Claim Handling,Claim Procedure,No Action Requested/Required,Company Position Upheld,0,Closed,18
32210,"Madison National Life Insurance Company, Inc.",7021281,6/27/2019,7/22/2019,Individual Life,Liability,PolicyHolder Service,Delays/No Response,No Action Requested/Required,Company Position Upheld,0,Closed,25
32211,Connecticut General Life Insurance Company,7021278,6/27/2019,7/19/2019,Group Life,Liability,Claim Handling,Carrier Never Received Claim,No Action Requested/Required,Company Position Upheld,0,Closed,22
32212,Genworth Life Insurance Company,7021130,7/31/2019,7/31/2019,Individual,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,0
32213,Mutual of Omaha Insurance Company,7004858,11/2/2020,11/18/2020,Individual,Long Term Care,Marketing & Sales,Misrepresentation,No Action Requested/Required,Company Position Upheld,0,Closed,16
32214,"Anthem Health Plans, Inc",7002328,5/18/2020,5/29/2020,Individual,Exchange&ndash;Individual Health,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0,Closed,11
32218,Ohio Mutual Insurance Company,7001874,4/30/2020,5/21/2020,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,21
32219,Garrison Property and Casualty Insurance Company,7045531,5/26/2022,6/15/2022,Individual Private Passenger,Liability,PolicyHolder Service,Premium/Notice,Company Position Substantiated,Company Position Upheld,0,Closed,20
32220,Amica Mutual Insurance Company,7044229,4/6/2022,5/3/2022,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement/Offer,No Jurisdiction,Med Jurisdiction Explained,0,Closed,27
32221,Metropolitan Life Insurance Company,7019143,11/19/2019,12/2/2019,Individual,Long Term Care,Claim Handling,Claim Delay,Claim Settled,Company Position Upheld,7012.5,Closed,13
32222,Allstate Insurance Company,7012756,3/5/2019,3/28/2019,Individual Private Passenger,Liability,Claim Handling,Contributory Comparative Negligence,Company Position Substantiated,Refer&ndash;Judicial/Attorney,0,Closed,23
32223,United Services Automobile Association,7017357,3/15/2018,3/23/2018,Individual Private Passenger,Physical Damage,Claim Handling,Loss of Use,Company Position Substantiated,Company Position Upheld,0,Closed,8
32227,Cigna Health and Life Insurance Company,7006383,10/13/2021,1/19/2022,Group,Dental,Claim Handling,Claim Delay,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,98
